126,1.24,1.24,1.38,1.24,-0.016,181.2995047
126.5,1.28,1.14,1.36,1.26,-0.0456,182.944912
127,1.24,1.28,1.32,1.26,-0.0412,179.110637
127.5,1.22,1.22,1.28,1.3,-0.0298,173.4793609
128,1.26,1.22,1.32,1.28,-0.0266,178.1797683
128.5,1.16,1.14,1.28,1.36,-0.0222,175.413785
129,1.26,1.22,1.24,1.3,-0.0156,181.1409572
129.5,1.22,1.26,1.42,1.18,0.0068,177.7698587
130,1.18,1.18,1.38,1.32,0.012,178.8252296
130.5,1.18,1.24,1.3,1.3,0.0042,182.2378119
131,1.24,1.3,1.22,1.28,-0.0134,181.1616301
131.5,1.18,1.18,1.32,1.28,-0.0218,180.2862722
132,1.26,1.3,1.26,1.3,-0.0154,180.2710176
132.5,1.12,1.22,1.24,1.28,-0.026,183.0922477
133,1.32,1.2,1.2,1.32,-0.0358,182.0954201
133.5,1.22,1.28,1.38,1.2,-0.039,181.3048187
134,1.22,1.24,1.36,1.36,-0.0432,180.3214356
134.5,1.14,1.24,1.28,1.3,-0.0088,180.4802434
135,1.26,1.18,1.26,1.28,-0.0064,179.0989082
135.5,1.14,1.2,1.32,1.32,-0.0042,176.0535893
136,1.16,1.2,1.28,1.28,-0.0082,180.0848668
136.5,1.22,1.2,1.28,1.3,-0.0024,181.8434684
137,1.24,1.16,1.3,1.22,0.0178,180.2761176
137.5,1.24,1.08,1.28,1.26,-0.0404,178.2103649
138,1.22,1.18,1.28,1.36,-0.0296,180.8108387
138.5,1.3,1.24,1.32,1.3,-0.0058,178.1093611
139,1.16,1.28,1.4,1.24,-0.0066,179.6550705
139.5,1.22,1.28,1.24,1.3,-0.022,179.2395757
140,1.22,1.28,1.24,1.3,-0.0218,180.8484847
140.5,1.24,1.1,1.26,1.36,-0.003,178.0825399
141,1.18,1.2,1.34,1.34,-0.0012,179.5476345
141.5,1.22,1.14,1.26,1.28,-0.0128,182.0784763
142,1.18,1.28,1.26,1.3,-0.023,177.3270238
142.5,1.24,1.2,1.28,1.34,-0.0022,178.8118255
143,1.24,1.12,1.24,1.26,-0.0064,176.7007077
143.5,1.12,1.2,1.22,1.2,-0.0122,178.7513444
144,1.24,1.2,1.26,1.32,-0.0104,181.3298032
144.5,1.14,1.12,1.28,1.34,-0.0068,183.824213
145,1.16,1.2,1.22,1.22,-0.0078,180.8997608
145.5,1.2,1.24,1.34,1.3,-0.0214,177.6212039
146,1.2,1.24,1.28,1.24,-0.0344,177.5276212
146.5,1.2,1.28,1.28,1.34,-0.0086,179.5403899
147,1.24,1.28,1.22,1.3,-0.0012,182.1832872
147.5,1.22,1.2,1.22,1.26,-0.04,181.3286812
148,1.24,1.1,1.28,1.26,-0.0192,180.5229649
